AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,47.887501,47.892502,47.555000,47.700001,46.198250,86440400;2018-06-14,110.279999,110.360001,107.779999,108.029999,99.128777,20487300;2018-06-14,101.650002,102.029999,101.000000,101.419998,97.866302,25691800
2018-06-15,47.507500,47.540001,47.064999,47.209999,45.723675,246876800;2018-06-15,107.800003,108.379997,106.269997,107.900002,99.009491,26028600;2018-06-15,101.510002,101.529999,100.070000,100.129997,96.621513,65738600
2018-06-18,46.970001,47.305000,46.799999,47.185001,45.699455,73939600;2018-06-18,107.260002,108.400002,106.690002,108.180000,99.266411,9786800;2018-06-18,100.010002,101.110001,99.419998,100.860001,97.325951,23586000
2018-06-19,46.285000,46.582500,45.862499,46.422501,44.960968,134314000;2018-06-19,106.900002,107.879997,106.599998,107.550003,98.688332,12707200;2018-06-19,99.650002,101.000000,99.500000,100.860001,97.325951,28653100
2018-06-20,46.587502,46.799999,46.432499,46.625000,45.157097,82514800;2018-06-20,108.180000,108.639999,107.440002,107.540001,98.679138,8876900;2018-06-20,101.370003,102.519997,101.120003,101.870003,98.300552,26180800
2018-06-21,46.812500,47.087502,46.235001,46.365002,44.905289,102847600;2018-06-21,107.099998,108.209999,106.529999,107.510002,98.651611,11048700;2018-06-21,102.080002,102.459999,100.879997,101.139999,97.596138,23198200
2018-06-22,46.529999,46.537498,46.174999,46.230000,44.774529,108801600;2018-06-22,108.160004,108.370003,105.510002,105.750000,97.036629,19478900;2018-06-22,100.410004,100.769997,99.629997,100.410004,96.891708,38923100
2018-06-25,45.849998,46.230000,45.182499,45.542500,44.108677,126652400;2018-06-25,105.660004,105.699997,103.959999,104.790001,96.155731,16907600;2018-06-25,100.000000,100.110001,97.300003,98.389999,94.942490,35433300
2018-06-26,45.747501,46.632500,45.634998,46.107498,44.655884,98276800;2018-06-26,104.709999,105.209999,103.110001,104.860001,96.219971,17086800;2018-06-26,98.820000,100.080002,98.750000,99.080002,95.608315,26897200
2018-06-27,46.307499,46.820000,46.007500,46.040001,44.590508,101141200;2018-06-27,104.680000,105.919998,103.230003,103.239998,94.733452,16276800;2018-06-27,99.580002,100.019997,97.400002,97.540001,94.122284,31298400
2018-06-28,46.025002,46.552502,45.950001,46.375000,44.914970,69460800;2018-06-28,103.680000,105.459999,103.510002,104.930000,96.284203,14491300;2018-06-28,97.379997,99.110001,97.260002,98.629997,95.174072,26650700
